"COUNTRY","Country","SECTOR","Sector","PRICE","Price","BIOEMS","Coverage","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","ALL","All sectors","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",22.5907554626465,,
"AUS","Australia","ALL","All sectors","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",20.7707710266113,,
"AUS","Australia","ALL","All sectors","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",20.7892112731934,,
"AUS","Australia","ROAD","Road","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",99.4875106811524,,
"AUS","Australia","ROAD","Road","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",98.8288192749024,,
"AUS","Australia","ROAD","Road","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",99.9981994628906,,
"AUS","Australia","OFFROAD","Off-road","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",60.2069969177246,,
"AUS","Australia","OFFROAD","Off-road","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",23.3001117706299,,
"AUS","Australia","OFFROAD","Off-road","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",17.5593070983887,,
"AUS","Australia","INDUSTRY","Industry","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",5.9983549118042,,
"AUS","Australia","INDUSTRY","Industry","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",1.25494599342346,,
"AUS","Australia","INDUSTRY","Industry","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",0,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",1.25685930252075,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",0.0239133834838867,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",0,,
"AUS","Australia","RESCOM","Residential & commercial","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",10.7219753265381,,
"AUS","Australia","RESCOM","Residential & commercial","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",0.404465198516846,,
