Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7555185296.22188,8222480250.84361,8338755822.52123,9275174321.23028,9772082811.87623,11123202207.9391,11559786095.0463,14032485421.8896,16047892927.2921,16116313886.6037,18171512501.5422,19189252517.2649,19712072023.3154,19998156214.3988,20450177379.3119,20991494229.3483,21241130983.2911,22071999789.1576,21553064853.4717,17083574409.0529,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4650625160.50326,4917833121.03684,5062840191.13157,5118781449.54479,5054714952.70562,5144721429.16823,5434741886.98793,5391924672.21704,5315357203.66803,5838204918.03678,5279159422.70218,3800881722.9158,3527708137.74186,3864936281.67144,4185836785.19754,4743487914.02322,5175145287.46805,4610020246.05598,5017058468.9282,5663797624.70068,6057217275.07,6559561240.44323,6857137320.92933,7236243583.8751,7635298386.75535,8057257368.12833,8532849798.21543,9043392345.97121,9721650518.61472,10047742806.5926,10420206418.1606,10685442992.5982,10836881664.049,10945469119.1889,11139690870.3865,11386850129.8411,11764322012.1433,12211628287.161,12702457551.4349,12967692915.4374,12516205780.1976,13582023423.9986,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Algeria,DZA,23999022855.6374,20733849882.5365,16652382861.0941,22366436351.5051,23672504945.1814,25141833231.1379,23933775449.7785,26196226282.9101,29024433369.0374,31472145185.4519,34261413498.4257,30379006337.699,38710135764.2023,40186221485.3555,43198145714.2485,45377639735.873,49183351878.8963,51769700728.4733,56540193593.3343,60768171202.0966,61248608600.2871,63086064462.5016,67123575183.9983,70748250274.0931,74710149834.0455,77474423327.0256,77784321797.243,77239833468.8772,76467430893.2101,79831999504.6666,80470655963.8669,79505007621.1313,80936099589.4618,79236440884.6883,78523315648.4244,81507197551.8748,84848991404.3994,85782330258.3513,90157232197.4476,93042265026.6936,96577871097.4267,99475207230.553,105045818835.471,112609117792.114,117451309856.916,124380937138.085,126495413070.052,130796257113.875,133935367284.719,136078333161.777,140977153155.65,145065490596.406,149997717277.114,154197653360.873,160057164188.845,165979279263.174,171290616199.707,173517394210.164,175599602941.537,177355598970.499,168310463422.672,174201329643.303,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,744923664.122138,752116030.534351,755198473.282443,752116030.534351,721291603.053435,734648854.961832,715126717.557252,685329770.992367,687384732.824428,687384732.824428,657587786.259542,641148091.603054,652450381.679389,673000000,661697709.923664,615461068.70229,631900763.358779,628818320.610687,660670229.007634,648340458.015267,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,859118311.600388,899062719.909445,972334025.37659,1048063942.04979,1106952451.17827,1112954410.01446,1149724053.64059,1182359839.72935,1199657766.29999,1200156310.41977,1226664494.22647,1225039476.43796,1240309117.1029,1262264055.97007,1284791514.56911,1314617089.20216,1357385813.24002,1432681662.62957,1505667139.97645,1578346208.51994,1638029596.10849,1679733887.34562,1695342210.46359,1677855020.20559,1717841363.19786,1765210866.50133,1847288558.72479,2014794627.07375,2079163152.69985,2164389691.24157,2240757202.45755,2422692295.39982,2532836662.47081,2753046641.70271,2977025605.91611,3137719374.5448,3288602531.52017,3339680716.04543,3154021640.92742,2986768713.36079,2927781285.72513,2927545020.99495,2781915941.59078,2683224788.58295,2750425228.26783,2789870187.50693,2893365390.02848,2903378514.30766,2949506390.20052,3008955096.59511,2672435365.90459,2911602777.05832,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22133389550.5542,21159520140.6011,21159520140.6011,22048220288.778,23371113983.4687,24189102853.7176,24890587257.9629,25906807369.5075,27494607219.4406,27506050876.8918,26557064977.2921,26820340911.2945,25254494115.3102,19197603368.7555,19454729048.957,22372938411.9159,25403211915.5071,27251112007.2188,28529501580.986,29151869724.6872,30042349802.0514,31305930600.9727,35584101640.5913,36648066279.645,40661029539.4454,46772382275.3821,52174592427.1967,59484252830.737,66128643868.489,66697350207.1816,69938841426.3426,72365719224.7854,78545751648.6805,82433766353.3677,86407073890.4684,87219300384.5072,84969042437.6887,84841588874.3396,83724808772.3459,83138735112.7792,78482965946.1149,79346278571.5219,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,346269196.835313,361448350.025752,390652456.23432,422535286.105219,438654653.041089,438286129.335081,461795868.619111,508737398.358923,547624235.021329,610567225.785409,651025662.213755,684965406.613787,720941671.103003,742654377.271652,758818833.53906,767609561.473437,808138415.274982,862095450.251678,824511645.778324,878966185.317249,927059773.667679,970920131.234148,1006918139.9154,1069381614.5052,1020746101.54234,1031233675.39432,1093897040.21001,1156982395.5026,1231883484.14811,1388433067.06436,1517770927.22872,1517553268.98274,1336012965.82455,1231261603.44532,1207145958.1923,1247861376.20468,1240363271.73109,1287444082.93699,1336692592.59259,1410163355.6217,1454503449.73032,1554626242.87881,1630215842.3024,1301036618.29788,1369612291.79505,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Argentina,ARG,150797810295.884,158982878499.524,157628310158.567,149261089202.812,164381681831.918,181755894112.433,180556802912.311,186320169964.576,195305461613.156,214210104570.482,220734180309.322,233223609573.669,237021461356.448,243685921868.226,257171024124.452,257097956426.363,251909073021.038,269376820356.431,257238364643.474,283535234199.299,287841521828.634,272903153784.458,270895516738.16,282677015450.457,287117132733.287,272218554792.861,288969188904.054,296785426416.393,293550663101.649,272541389928.67,265817211205.311,290094591011.844,313120244489.89,338817957426.035,358592053441.545,348389357874.283,367643757074.802,397463514160.866,412766570325.764,398792535409.293,395646066535.875,378202665751.853,336999433710.193,366780211148.674,399898899166.738,435296589745.339,470325565798.353,512690850741.56,533491913656.279,501917060966.235,552738161802.463,585924294024.785,579910247223.428,593858966307.156,578937574935.696,594749285413.212,582376550428.09,598790850843.677,583118120294.002,571450737224.442,514630046744.607,568142562825.363,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5839777179.4856,5156523338.13202,3001096441.20728,2736999990.59546,2884798066.15368,3083849087.13088,3264729194.59891,3373153453.15604,3619393654.82187,3738833645.45205,3959424830.6504,4339529614.36417,4912347523.37066,5600076176.7187,6188084175.20809,7048227875.50714,7978593955.03646,9071661326.99986,9697605958.60182,8330243518.3711,8513508875.79318,8913643792.84258,9555426146.01325,9870755208.83169,10226102396.4079,10553337672.9872,10574444348.3148,11367527674.612,11958639113.6524,12867495686.1153,11941035996.715,12621675048.5277,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,982616126.731236,1140605386.32331,1353312877.28631,1517467571.39906,1577580557.97556,1703201274.47242,1803389601.97603,1935175782.10633,2093935693.11871,2147271243.93681,2172733339.65486,2325843142.0188,2372173575.71739,2401542077.15133,2584457669.54561,2692900552.02825,2667108731.32967,2697003796.23029,2893373340.18533,2882235963.0655,2915061916.68186,3005333289.12687,3060433996.98291,2702865573.66179,2629007178.02497,2717520017.24052,2689383485.56935,2862305919.79842,2861719742.05527,2963128491.62011,3025849510.13709,3191737811.44837,3359554779.02582,3380888935.15673,2752412117.66957,3225070322.88917,..
